,,,,
city_id,City,Population (approx.),Median Income (USD),notes
atlanta_us,"Atlanta, GA","6,200,000","75,000","Atlanta is widely seen as a leading Black business and culture hub in the U.S., with strong HBCU pipelines, Fortune 500 presence, and high Black professional density. Opportunity supports entrepreneurship, media, tech, and services. Networks are unusually cohesive and scalable across corporate, civic, and creative ecosystems."
houston_us,"Houston, TX","7,300,000","70,000","Houston’s scale and diversity create strong pathways in energy, healthcare, logistics, and engineering. Cost-to-income value remains attractive compared with coastal metros. Black middle-class neighborhoods and professional associations are substantial, though less centralized than Atlanta. Great for founders seeking operational scale, industry clients, and workforce depth."
dallas_us,"Dallas, TX","7,900,000","72,000","Dallas benefits from corporate relocations, strong employment growth, and pro-business conditions. Opportunity is high in services, tech, and real estate, with expanding regional markets. Black networks are growing but more dispersed; success often requires deliberate ecosystem entry (chambers, accelerators, and regional industry associations)."
charlotte_us,"Charlotte, NC","2,800,000","74,000","Charlotte is a major finance and banking center with stable professional opportunities and strong upward mobility for skilled workers. The city’s growth creates demand in services, real estate, and fintech-adjacent roles. Black professional networks exist and are expanding, though smaller than Atlanta/DC. Good family stability profile."
raleigh_us,"Raleigh, NC","1,500,000","78,000","Raleigh’s Research Triangle positioning supports strong tech, biotech, and university-driven opportunities. Population growth and talent inflows sustain demand for services and innovation. Black networks are present but less dense than legacy Black hubs; outcomes improve with institutional ties (universities, corporate employers, and regional innovation programs)."
durham_us,"Durham, NC","330,000","68,000","Durham is a smaller market anchored by healthcare, academia, and biotech research. Strong for professionals and founders connected to universities and regional innovation networks. Opportunities exist in science, health, and services, but scaling often relies on the broader Triangle economy. Black networks are developing and can be navigated locally."
memphis_us,"Memphis, TN","1,300,000","58,000","Memphis offers deep Black cultural and civic institutions, with strong community networks and leadership infrastructure. The logistics sector (distribution, warehousing) supports entrepreneurship and employment. While incomes are lower, affordability improves runway for founders. Impact-centered and community-rooted ventures can thrive with local legitimacy and partnerships."
washington_dc_us,"Washington, DC","6,400,000","95,000","DC is unmatched for access to policy, government contracting, NGOs, and institutional decision-makers. The region has one of the strongest concentrations of Black middle and upper-middle-class households. Opportunity is high for mission-driven professionals, consultants, and entrepreneurs working in policy, procurement, and social impact. Networks are exceptionally influential."
silver_spring_us,"Silver Spring, MD","82,000","90,000","Silver Spring provides DC access with a suburban lifestyle and strong diversity. It attracts professionals connected to federal, nonprofit, and consulting sectors. Black networks benefit from the broader DMV ecosystem. Opportunity is steady rather than speculative, supporting stable career paths and service businesses. Good for families seeking proximity to DC opportunity."
hyattsville_us,"Hyattsville, MD","21,000","78,000",Hyattsville is a smaller suburb near DC with growing creative energy and redevelopment activity. Proximity to DC expands opportunity for employment and entrepreneurship while maintaining relatively lower entry costs. Black professionals and creatives can plug into DMV networks while benefiting from local community scale and a neighborhood-based small-business environment.
bowie_us,"Bowie, MD","58,000","95,000","Bowie is known for stable, educated Black middle-class households and strong homeownership. It is more residential than entrepreneurial, but excellent for professionals working in DC-area sectors who want community cohesion and stability. Many business models are services, consulting, or home-based. Networks connect easily to the broader DMV region."
alexandria_us,"Alexandria, VA","160,000","100,000","Alexandria benefits from high incomes, strong schools, and proximity to federal contracting ecosystems. It is attractive for consultants, government-adjacent professionals, and service businesses targeting DC clients. Black networks are present and strengthened by DMV density. Opportunity is strong for stable career tracks and professional services businesses with institutional clients."
chicago_us,"Chicago, IL","9,500,000","72,000","Chicago offers metro-scale markets, diverse industries, and deep Black cultural and institutional infrastructure. Opportunity can be high in professional services, logistics, healthcare, and creative sectors, though neighborhood inequality is significant. Black networks are strong and historic, supporting civic leadership and entrepreneurship, especially for those able to navigate local geography strategically."
detroit_us,"Detroit, MI","4,300,000","60,000","Detroit remains one of the most affordable large U.S. metros, creating strong entry opportunities for founders. Revitalization, mobility innovation, and manufacturing ecosystems create momentum. Black-led institutions and community networks are strong. While incomes are moderate, cost advantages can support experimentation and long-term community-centered enterprise, particularly in real estate and services."
columbus_us,"Columbus, OH","2,100,000","68,000","Columbus is growing steadily with strengths in education, logistics, and emerging tech. It offers a good affordability-to-opportunity balance, suitable for families and early-stage entrepreneurs. Black networks are developing and increasingly organized, but less dense than Chicago/Detroit/Atlanta. Strong pathway if connected to universities, employers, and city innovation programs."
minneapolis_us,"Minneapolis, MN","3,700,000","78,000","Minneapolis has strong corporate employers and high educational attainment. Opportunity exists in professional services and corporate pathways, but Black network density is comparatively lower and equity gaps can be pronounced. Success often improves through institutional sponsorship, community organizations, and targeted professional networks. Strong overall economy; social navigation may require more intentional strategy."
st_louis_us,"St. Louis, MO","2,800,000","62,000","St. Louis offers affordability and historic Black neighborhoods with active local networks. Opportunity is moderate but can be strong for founders leveraging low costs, real estate access, and community-based markets. Growth is often regional rather than global, and outcomes improve with partnerships in healthcare, education, and local procurement ecosystems."
accra_gh,"Accra, GH","5,400,000","8,000","Accra is a major diaspora return destination with strong cultural alignment, English-language accessibility, and growing entrepreneurship. Opportunity is high in services, trade, hospitality, and tech-enabled business. Networks among returnees, creatives, and business communities are strong. Infrastructure gaps remain, but the upside is meaningful for builders with long-term intent."
lagos_ng,"Lagos, NG","15,000,000+","6,000","Lagos is Africa’s largest urban market with enormous commercial velocity, dense networks, and rapid innovation cycles. Opportunity is extremely high for entrepreneurs who can navigate congestion, infrastructure constraints, and regulatory ambiguity. Local and diaspora networks are exceptionally powerful for deal flow, hiring, and market reach. Risk is higher, but so is potential."
abidjan_ci,"Abidjan, CI","5,000,000","7,500","Abidjan is the business capital of Francophone West Africa, with strong trade connectivity, banking, and regional corporate presence. Opportunity is high for entrepreneurs targeting WAEMU markets in services, logistics, construction, and consumer sectors. Networks are solid and improving with diaspora engagement. Business conditions are moderate but more structured than many regional peers."
dakar_sn,"Dakar, SN","3,600,000","9,000","Dakar combines political stability, international organization presence, and a strong cultural economy. Opportunity is meaningful in services, development-sector contracting, creative industries, and regional trade. Networks are strong within Francophone West Africa and diaspora communities, though market size is smaller than Lagos. Strong city for mission-oriented professionals and regional convening."
kumasi_gh,"Kumasi, GH","3,300,000","6,500","Kumasi is a major Ghanaian secondary city with strong cultural identity and regional trade. Costs can be lower than Accra, improving entrepreneurial runway. Opportunity is solid in commerce, manufacturing, and services, though institutional capital access is more limited. Networks are community-based and robust, supporting local scale and culturally rooted enterprise."
ibadan_ng,"Ibadan, NG","3,500,000","5,500","Ibadan is a large Nigerian city with education and services strengths and proximity to Lagos’s economic gravity. Opportunity exists for founders seeking population scale without Lagos-level costs. Networks are strong regionally, and growth potential is meaningful in consumer services, education, and logistics. Access to capital is weaker than Lagos but improving through spillovers."
nairobi_ke,"Nairobi, KE","5,100,000","10,000","Nairobi is East Africa’s leading tech and NGO hub, hosting regional HQs and startup ecosystems. Opportunity is strong in technology, services, and development-linked procurement. International connectivity and youthful demographics support growth. Networks are robust across local innovators, expats, and diaspora communities. Cost pressure exists, but the ecosystem depth supports career mobility and venture building."
kigali_rw,"Kigali, RW","1,300,000","9,500","Kigali is recognized for strong governance, safety, and regulatory clarity. Opportunity is best for entrepreneurs and professionals who value predictable administration and stability over raw market size. Networks are thinner than larger capitals, but institutional pathways can be effective. Growth is steady and reputation-driven. Suitable for disciplined operators and regional professionals seeking a controlled environment."
dar_es_salaam_tz,"Dar es Salaam, TZ","7,000,000","7,000","Dar es Salaam is a rapidly growing port city with strong trade and logistics fundamentals. Opportunity rises with urban expansion and increasing demand for services, construction, and commerce. Business conditions are improving gradually. Networks are solid locally, though less globally connected than Nairobi. Strong for trade, distribution, and practical service businesses tied to urban growth."
johannesburg_za,"Johannesburg, ZA","5,600,000","18,000","Johannesburg is Southern Africa’s financial and corporate center, with access to capital markets, major employers, and regional headquarters. Opportunity is strong in professional services, finance, and enterprise. Black professional networks are well established, though inequality is high. The city suits professionals and founders targeting regional scale, corporate clients, and structured business environments."
cape_town_za,"Cape Town, ZA","4,800,000","17,000","Cape Town offers global connectivity, strong tourism and creative sectors, and a growing tech scene. Opportunity is meaningful for innovation and services, though cost and inequality factors matter. Networks can be strong within tech, creative, and international communities; Black networks are improving but often require intentional community entry. Strong lifestyle appeal with economic upside."
pretoria_za,"Pretoria, ZA","2,500,000","15,000","Pretoria is a government and administrative center with stable professional employment and research institutions. Opportunity is best for public-sector-adjacent services, education, and knowledge work. Networks are moderate and institutional. It is less entrepreneurial than Johannesburg but can suit professionals seeking stability, career pathways, and consistent demand tied to government and education sectors."
bridgetown_bb,"Bridgetown, BB","110,000","24,000","Bridgetown is a small Caribbean capital with strong institutions and regional governance relevance. Opportunity is concentrated in tourism, services, and niche professional sectors. Networks are community-based and accessible, though market size limits scaling. Quality-of-life can be strong, but import costs and limited diversification require careful business planning and realistic market expectations."
kingston_jm,"Kingston, JM","1,000,000","12,000","Kingston is Jamaica’s economic and cultural center, anchored by creative industries, services, and strong diaspora links. Opportunity is meaningful for culture-driven entrepreneurship and services connected to remittances and tourism. Networks are strong in music, arts, and diaspora communities. Economic constraints exist, but cultural capital and diaspora channels can support enterprise growth."
nassau_bs,"Nassau, BS","275,000","32,000","Nassau is dominated by tourism and offshore-related services. Income potential can be solid, but high living costs and limited economic diversification constrain broad opportunity. Networks are smaller and sector-specific, especially hospitality and services. Attractive for those aligned with tourism and finance niches, but less suitable for diverse entrepreneurship without clear market differentiation."
port_of_spain_tt,"Port of Spain, TT","200,000","22,000","Port of Spain benefits from Trinidad and Tobago’s energy-linked economy and regional services role. Opportunity is moderate but stable in professional services, government-related activity, and commerce. Networks are established and accessible in a small-market environment. Growth may be incremental rather than explosive, but the city can work well for disciplined service businesses and regional connectivity."
salvador_br,"Salvador, BR","2,900,000","8,500","Salvador is Brazil’s largest Afro-descendant cultural capital, with strong Black identity, arts, and community networks. Opportunity exists in tourism, culture, food, and social enterprise, though broader economic inequality can limit upward mobility. Networks are strong for community-led initiatives and cultural entrepreneurship. The city is attractive for diaspora-aligned cultural work and impact-focused business."
cartagena_co,"Cartagena, CO","1,100,000","9,000","Cartagena’s economy is driven by tourism, port activity, and services. Opportunity is strongest in hospitality, commerce, and logistics-linked services. Afro-descendant heritage supports cultural entrepreneurship and community networks, though market dynamics are seasonal and tourism-dependent. Attractive for founders who can capture tourism value chains, premium services, or trade-related business while managing cost cycles."
panama_city_pa,"Panama City, PA","1,700,000","18,000","Panama City is a strategic global logistics and finance hub anchored by the Canal, trade, and multinational services. Opportunity is strong in shipping, commerce, regional HQ operations, and professional services. Networks are more international than diaspora-centered, but business pathways are clear. Cost can be higher than neighboring countries, yet market access and legal-business infrastructure support growth."
medellin_co,"Medellín, CO","4,000,000","11,000","Medellín has built a strong innovation reputation, with improving urban systems and a growing startup ecosystem. Opportunity is high for entrepreneurs, remote workers, and service businesses connected to international markets. Networks are increasingly global and collaborative. Safety perceptions and localized risks still require diligence, but the city’s transformation and talent base create strong momentum for business and lifestyle integration."
toronto_ca,"Toronto, ON","6,700,000","85,000","Toronto is Canada’s largest economic center with global finance, diverse industries, and deep immigrant and Black diaspora networks. Opportunity is strong across professional services, technology, and entrepreneurship, supported by institutions and capital access. The main constraint is housing affordability and cost of living. Best for high-skill workers, scalable founders, and those leveraging diaspora networks strategically."
brampton_ca,"Brampton, ON","650,000","75,000","Brampton is a major suburban hub with strong immigrant and Black community concentrations, offering dense local networks and cultural continuity. Opportunity is supported by proximity to Toronto’s market while keeping relatively lower costs than downtown. Strong fit for families and small business owners. Many pathways are local services, retail, logistics, and professional work connected to the GTA economy."
mississauga_ca,"Mississauga, ON","830,000","82,000","Mississauga hosts major corporate offices, logistics corridors, and a diverse professional workforce. Opportunity is strong for services, business-to-business roles, and employment in corporate environments. Black networks are growing and benefit from GTA connectivity. Cost is high but often more manageable than central Toronto. Strong fit for professionals seeking stable careers and access to large-market clients."
vaughan_ca,"Vaughan, ON","350,000","90,000","Vaughan is a fast-growing suburban city with strong construction, services, and commercial development. Opportunity is tied to regional business districts and proximity to Toronto. Networks are more mixed and less diaspora-dense than Brampton, but professional pathways are solid. High incomes reflect a strong suburban economy; housing costs can be significant, requiring careful planning for new arrivals."
ottawa_ca,"Ottawa, ON","1,500,000","80,000","Ottawa is Canada’s federal capital with a highly educated workforce and stable economy anchored in government, defense, technology, and research institutions. It offers strong professional and consulting opportunities, reliable income levels, and access to public procurement. Black diaspora networks are growing, though smaller than Toronto’s, and benefit from institutional pathways and newcomer programs."